Title,Assessment Grade,Size in Bytes,Revisions,Registered Edits,IP Edits,Bot Edits,Unique Editors,Major Edits,Minor Edits,Semi Auto Edits,Reverted Edits,Average Time Between Edits,Average Edits Per User,Average Edits Per Day,Average Edits Per Month,Average Edits Per Year,Edits Made By Top 10
Koala,FA,100662,6000,0,2046,245,2498,0,1748,1393,1547,31.200000000000003,2.4,1.0,23.0,275.6,1445
Lion,FA,144863,9706,0,1926,375,3008,0,2584,1132,1354,19.200000000000003,3.2,1.6,37.5,449.5,3038
Cougar,FA,93518,7968,0,2785,375,3514,0,2257,1850,1964,24.0,2.3,1.3,31.7,379.9,1222
Bat,FA,163749,5812,0,1703,338,2500,0,1812,1138,1226,33.599999999999994,2.3,0.9,22.3,267.2,1107
Beaver,FA,83496,6647,0,2057,221,2693,0,1840,1220,1390,28.799999999999997,2.5,1.1,25.4,305.3,1666
Parinda,FA,44588,726,0,160,43,244,0,109,63,35,204.0,3.0,0.1,3.6,42.9,371
Mayabazar,FA,77428,1522,0,286,66,367,0,249,186,110,105.60000000000001,4.1,0.3,6.9,83.0,750
Not One Less,FA,50419,537,0,67,48,186,0,135,50,40,307.20000000000005,2.9,0.1,2.4,28.6,291
On the Job,FA,46451,982,0,124,31,213,0,279,77,54,93.6,4.6,0.3,7.8,94.1,661
Oriental Film,FA,24014,129,0,5,24,45,0,29,25,10,602.4000000000001,2.9,0.1,1.2,14.6,84
Ambohimanga,FA,73790,422,0,37,49,147,0,92,42,22,345.6,2.9,0.1,2.1,25.4,256
Banff National Park,FA,87569,2125,0,527,137,805,0,665,353,374,84.0,2.6,0.4,8.7,104.2,724
Barren Island Brooklyn,FA,62122,319,0,24,22,107,0,76,28,14,528.0,3.0,0.1,1.4,16.6,189
Old Pine Church,FA,33657,252,0,8,17,52,0,123,24,6,316.79999999999995,4.8,0.1,2.3,27.7,201
Richard Hakluyt,FA,51016,570,0,85,61,262,0,246,78,48,309.6,2.2,0.1,2.4,28.3,204
Gregorian mission,FA,83247,970,0,38,35,160,0,158,37,32,132.0,6.1,0.2,5.6,66.7,745
Halifax Explosion,FA,74681,4042,0,1431,143,1780,0,1277,726,781,45.599999999999994,2.3,0.7,16.4,197.1,967
Ine of Wessex,FA,35100,607,0,45,43,180,0,144,53,29,300.0,3.4,0.1,2.4,29.2,338
Justus,FA,23072,637,0,56,46,198,0,166,61,42,297.6,3.2,0.1,2.5,29.5,393
Robert Kaske,FA,122094,438,0,2,12,50,0,77,9,2,88.80000000000001,8.8,0.3,8.2,98.3,391
Flower Drum Song,FA,67676,1161,0,144,46,274,0,169,64,48,146.39999999999998,4.2,0.2,5.0,59.8,770
Tom Holland,FA,95495,4472,0,1027,177,1560,0,789,640,688,26.400000000000002,2.9,1.2,27.8,333.7,913
Stanley Holloway,FA,56915,2498,0,963,80,451,0,337,156,157,72.0,5.5,0.4,10.1,120.8,1216
Dan Leno,FA,50792,1516,0,74,37,228,0,212,127,85,112.80000000000001,6.6,0.3,6.5,78.0,1150
George Robey,FA,86272,861,0,41,33,160,0,186,74,48,180.0,5.4,0.2,4.1,48.9,643
Great Stink,FA,51535,1141,0,335,61,517,0,282,229,246,139.2,2.2,0.2,5.2,63.0,360
Rachel Carson,FA,86631,4726,0,1901,262,2206,0,1448,1112,1239,38.400000000000006,2.1,0.8,18.8,225.5,743
Draining and development of the Everglades,FA,68092,492,0,52,28,159,0,151,57,45,271.20000000000005,3.1,0.1,2.7,32.3,292
Sustainable energy,FA,157728,5142,0,748,222,1169,0,1086,592,565,31.200000000000003,4.4,0.9,22.7,272.3,2668
Digital media use and mental health,FA,170101,1470,0,48,87,201,0,374,70,50,26.400000000000002,7.3,1.1,26.5,317.9,1083
Supermarine S.4,FA,21460,329,0,10,34,76,0,76,15,5,441.59999999999997,4.3,0.1,1.7,19.8,237
Cotswold Olimpick Games,FA,30039,702,0,94,28,196,0,139,73,44,225.60000000000002,3.6,0.1,3.3,39.0,459
Ice dance,FA,50809,853,0,161,68,284,0,160,67,75,218.39999999999998,3.0,0.1,3.3,39.9,443
Retiarius,FA,34374,512,0,172,35,264,0,191,75,83,312.0,1.9,0.1,2.3,28.1,168
Stanley Cup,FA,78740,4087,0,1517,158,1950,0,1266,775,905,45.599999999999994,2.1,0.7,16.2,194.5,798
Construction of the World Trade Center,FA,91472,1082,0,201,67,384,0,300,135,112,136.8,2.8,0.2,5.4,64.4,521
Rolls-Royce Merlin,FA,89391,2035,0,416,48,558,0,663,177,181,93.6,3.6,0.3,7.9,94.8,928
Vannevar Bush,FA,81681,1644,0,374,107,741,0,407,182,160,115.19999999999999,2.2,0.3,6.3,75.8,521
Barry Voight,FA,30411,416,0,17,24,95,0,81,37,12,192.0,4.4,0.2,3.8,45.8,312
Norman Selfe,FA,57758,391,0,19,25,106,0,157,38,15,252.0,3.7,0.1,2.9,34.7,256
Addax,GA,26676,667,0,219,74,379,0,213,119,100,249.60000000000002,1.8,0.1,2.9,35.1,141
Jungle cat,GA,46869,928,0,143,94,351,0,262,139,140,189.60000000000002,2.6,0.2,3.9,46.5,421
Bear,GA,109604,6129,0,1809,283,2575,0,1791,1144,1465,31.200000000000003,2.4,1.0,23.3,280.0,980
Leopard,GA,98596,7007,0,2262,345,2743,0,1779,1428,1488,26.400000000000002,2.6,1.1,27.2,326.5,1455
Mammal,GA,209445,7783,0,2798,440,3576,0,2549,1913,2077,24.0,2.2,1.2,29.5,353.6,1159
Arwen,GA,23832,1062,0,381,41,541,0,231,103,99,172.8,2.0,0.2,4.2,50.4,264
The Babadook,GA,49256,1523,0,640,88,819,0,326,277,271,55.199999999999996,1.9,0.6,13.2,158.6,262
Bad Genius,GA,86064,343,0,50,21,93,0,124,27,37,156.0,3.7,0.2,4.7,56.3,225
Ave Maryam,GA,57000,308,0,0,4,25,0,24,15,3,79.19999999999999,12.3,0.4,9.1,109.3,288
Bantha,GA,81768,436,0,116,25,208,0,78,34,23,384.0,2.1,0.1,1.9,22.8,177
Mount Garibaldi,GA,78600,948,0,94,54,229,0,219,93,64,177.60000000000002,4.1,0.2,4.1,49.2,610
Nevadaplano,GA,36630,83,0,6,12,10,0,9,3,0,199.20000000000002,8.3,0.2,3.6,43.8,71
Olca-Paruma,GA,24775,103,0,6,19,33,0,24,7,0,1015.1999999999999,3.1,0.0,0.7,8.6,73
Slavonia,GA,133923,875,0,174,79,336,0,212,75,73,206.39999999999998,2.6,0.1,3.5,42.3,379
Yang Shoujing,GA,10931,114,0,2,5,24,0,39,20,2,364.79999999999995,4.8,0.1,2.0,24.0,100
Cynesige,GA,10304,154,0,3,9,47,0,36,13,2,991.1999999999999,3.3,0.0,0.7,8.8,115
Doune Castle,GA,30606,316,0,84,34,184,0,100,45,13,518.4000000000001,1.7,0.1,1.4,16.9,89
Nicholas Exton,GA,84271,290,0,2,17,51,0,52,19,6,177.60000000000002,5.7,0.2,4.1,49.6,231
Fajsz,GA,5878,109,0,20,16,55,0,33,10,0,1336.8000000000002,2.0,0.0,0.5,6.6,63
Robert Foliot,GA,10769,133,0,1,10,27,0,27,10,1,986.4000000000001,4.9,0.0,0.7,8.9,114
A Change in Me,GA,30786,221,0,47,20,89,0,33,15,6,664.8,2.5,0.0,1.1,13.2,118
Jonathan Groff,GA,161456,2471,0,988,119,1150,0,511,370,342,57.599999999999994,2.1,0.5,12.6,151.2,489
Marilyn Maye,GA,46416,263,0,44,15,80,0,83,26,9,453.59999999999997,3.3,0.1,1.6,19.3,162
Show Boat,GA,89787,2114,0,314,70,472,0,329,136,120,81.6,4.5,0.4,9.0,108.0,1298
Brooklyn Nelson,GA,14840,105,0,17,7,33,0,18,9,3,463.20000000000005,3.2,0.1,1.6,18.9,78
Bisphenol A,GA,63761,3579,0,693,267,1158,0,1008,355,263,45.599999999999994,3.1,0.7,15.8,189.3,1119
The Clean Tech Revolution,GA,16407,275,0,10,13,67,0,140,17,8,508.79999999999995,4.1,0.1,1.4,17.2,218
John Marburger,GA,24154,219,0,35,35,116,0,82,27,3,664.8,1.9,0.0,1.1,13.2,77
Royal Society,GA,66484,1663,0,468,123,822,0,512,234,242,103.19999999999999,2.0,0.3,7.1,85.3,337
Naledi Pandor,GA,32756,392,0,67,23,154,0,83,32,11,388.79999999999995,2.5,0.1,1.9,22.6,206
Vinkensport,GA,9323,261,0,13,11,66,0,39,24,4,566.4000000000001,4.0,0.1,1.3,15.5,200
Summit Series,GA,142141,1810,0,580,70,644,0,537,185,154,93.6,2.8,0.3,7.8,93.5,709
Single skating,GA,45037,379,0,56,28,110,0,63,32,27,379.20000000000005,3.4,0.1,1.9,23.1,241
Juldarigi,GA,12114,78,0,2,11,27,0,29,10,1,1118.4,2.9,0.0,0.7,7.8,57
National Football League,GA,136792,11384,0,4170,330,4932,0,2913,2158,2525,16.799999999999997,2.3,1.8,43.5,521.4,1517
Lowthian Bell,GA,34168,370,0,22,40,107,0,106,33,6,424.79999999999995,3.5,0.1,1.7,20.6,234
Buro Happold,GA,40920,727,0,218,39,190,0,105,46,3,201.60000000000002,3.8,0.2,3.6,43.7,425
Hanford Engineer Works,GA,96313,209,0,2,5,22,0,21,3,1,33.599999999999994,9.5,0.9,21.8,209.0,197
Project Alberta,GA,34283,270,0,17,10,81,0,50,17,7,552.0,3.3,0.1,1.3,15.8,187
Raymix,GA,38625,178,0,4,8,26,0,48,10,2,158.39999999999998,6.8,0.2,4.6,55.6,160
Ferret,B,53270,6285,0,2686,231,3010,0,1724,1357,1594,28.799999999999997,2.1,1.0,25.2,302.3,1069
Amphicyon,B,76138,315,0,45,38,162,0,119,47,27,475.20000000000005,1.9,0.1,1.5,18.5,93
Enhydriodon,B,87477,390,0,18,8,39,0,197,5,1,158.39999999999998,10.0,0.2,4.6,55.5,355
Bachitherium,B,123421,226,0,0,7,11,0,132,3,0,7.199999999999999,20.5,4.8,114.6,226.0,219
Beluga whale,B,189574,3726,0,1511,306,1897,0,1193,922,933,48.0,2.0,0.6,15.3,183.8,441
Alien 3,B,74217,2837,0,1137,123,1397,0,543,315,323,62.400000000000006,2.0,0.5,11.6,139.6,404
Chinese animation,B,24627,388,0,92,45,223,0,108,28,13,410.40000000000003,1.7,0.1,1.8,21.4,103
Color temperature,B,29727,1415,0,406,66,648,0,470,139,152,132.0,2.2,0.2,5.5,65.8,428
Castle in the Sky,B,70551,2484,0,1005,113,1184,0,503,184,170,74.4,2.1,0.4,10.0,119.5,522
Cobra Commander,B,69069,1740,0,719,65,861,0,361,205,196,96.0,2.0,0.3,7.6,91.2,323
Bay of Fundy,B,24859,1043,0,349,88,616,0,349,166,167,175.2,1.7,0.2,4.2,49.9,145
East Java,B,106261,1201,0,282,79,479,0,318,159,160,146.39999999999998,2.5,0.2,5.0,60.2,351
Burzenland,B,13971,265,0,34,46,104,0,126,17,18,592.8,2.5,0.1,1.2,14.8,130
Fraser Valley,B,56450,267,0,69,24,160,0,80,35,19,667.2,1.7,0.0,1.1,13.1,76
Gazetteer,B,45840,735,0,111,40,256,0,415,41,20,264.0,2.9,0.1,2.8,33.2,412
Bernward Doors,B,38215,148,0,20,17,54,0,54,21,3,496.79999999999995,2.7,0.1,1.5,17.7,94
Birka,B,50005,502,0,67,46,221,0,179,46,24,379.20000000000005,2.3,0.1,1.9,23.0,220
Bolad,B,10621,125,0,8,18,55,0,73,16,0,1034.4,2.3,0.0,0.7,8.5,76
Block book,B,18613,109,0,7,11,42,0,24,10,2,1406.4,2.6,0.0,0.5,6.2,74
Boethius,B,65919,1745,0,256,112,614,0,407,101,82,110.39999999999999,2.8,0.3,6.6,79.4,772
Dave Stamper,B,17853,121,0,2,29,45,0,37,13,0,924.0,2.7,0.0,0.8,9.5,74
Jerome Kern,B,56223,943,0,141,60,347,0,231,69,47,201.60000000000002,2.7,0.2,3.6,43.3,465
Linda Lavin,B,49744,805,0,228,67,379,0,264,56,20,208.79999999999998,2.1,0.1,3.5,42.1,259
Spamalot,B,76199,2342,0,1086,79,1293,0,506,206,197,72.0,1.8,0.4,10.3,123.5,207
Leslie Stuart,B,18554,245,0,31,22,78,0,47,19,3,679.2,3.1,0.0,1.1,12.9,169
DNA profiling,B,100600,2977,0,1367,176,1638,0,855,594,652,62.400000000000006,1.8,0.5,11.6,138.9,302
Superfund,B,46448,708,0,183,43,389,0,213,75,58,247.20000000000002,1.8,0.1,3.0,35.5,143
Greenhouse gas,B,92292,7457,0,2492,352,3218,0,2141,1907,2115,26.400000000000002,2.3,1.2,28.8,345.7,1215
MKUltra,B,81668,5211,0,2016,279,2511,0,1231,825,928,36.0,2.1,0.8,20.2,242.3,790
Biosafety,B,33319,194,0,58,34,126,0,62,22,8,967.1999999999999,1.5,0.0,0.8,9.1,44
J.League,B,54004,357,0,35,15,92,0,54,18,9,441.59999999999997,3.9,0.1,1.7,19.8,247
Layback spin,B,5765,150,0,35,22,70,0,31,8,15,1094.4,2.1,0.0,0.7,8.0,78
Diving (sport),B,50540,2219,0,947,114,1157,0,760,342,436,86.4,1.9,0.4,8.4,101.1,469
Jockstrap,B,15209,1694,0,561,90,774,0,425,229,247,98.39999999999999,2.2,0.3,7.4,88.7,435
BASE jumping,B,36369,1891,0,877,113,1175,0,457,237,226,100.80000000000001,1.6,0.3,7.2,86.7,156
MERCON,B,25761,338,0,4,6,36,0,115,12,6,115.19999999999999,9.4,0.3,6.3,75.6,311
Mast radiator,B,42125,260,0,36,13,103,0,54,10,5,609.5999999999999,2.5,0.0,1.2,14.4,151
Forging,B,44921,977,0,357,85,533,0,339,221,222,184.8,1.8,0.2,4.0,47.6,230
Ringworld,B,26064,996,0,288,57,618,0,299,60,61,192.0,1.6,0.2,3.8,45.5,124
LIGA,B,15911,154,0,20,20,73,0,76,11,1,986.4000000000001,2.1,0.0,0.7,8.9,87
Alpaca,C,43241,2330,0,823,153,1230,0,735,428,475,81.6,1.9,0.4,8.8,106.1,305
Barbary lion,C,38199,2085,0,471,115,790,0,513,256,324,79.19999999999999,2.6,0.4,9.2,110.8,827
Bengal fox,C,16353,294,0,53,47,173,0,114,44,31,571.2,1.7,0.1,1.3,15.4,76
Protypotherium,C,73651,187,0,9,25,46,0,34,17,1,804.0,4.1,0.0,0.9,10.9,140
Alpine goat,C,8713,156,0,70,20,110,0,43,35,91,823.1999999999999,1.4,0.0,0.9,10.6,38
Aerial Gunner,C,10592,92,0,11,10,45,0,42,17,2,1356.0,2.0,0.0,0.5,6.5,54
American Sniper,C,83561,2852,0,949,77,1025,0,397,390,392,31.200000000000003,2.8,1.0,23.2,278.4,763
Alex & Eve,C,31391,109,0,7,9,40,0,44,9,0,602.4000000000001,2.7,0.1,1.2,14.6,75
American Hustle,C,35182,1745,0,650,54,826,0,266,184,144,52.800000000000004,2.1,0.6,13.9,167.3,375
AmeriQua,C,37123,78,0,3,7,25,0,46,13,2,453.59999999999997,3.1,0.1,1.6,19.3,60
Batu Ferringhi,C,12237,280,0,85,33,139,0,94,38,32,564.0,2.0,0.1,1.3,15.5,87
Bay of Dili,C,15765,25,0,0,4,5,0,4,0,0,492.0,5.0,0.1,1.5,17.8,21
Benue State,C,38963,620,0,135,58,313,0,180,52,20,261.6,2.0,0.1,2.8,33.5,149
Bingen Forest,C,7685,24,0,1,6,17,0,7,6,0,3254.3999999999996,1.4,0.0,0.2,2.7,16
Boram block,C,17838,10,0,0,0,5,0,2,0,0,597.5999999999999,2.0,0.1,1.2,10.0,10
Chartism,C,53788,1267,0,449,96,725,0,361,161,159,144.0,1.7,0.2,5.1,60.7,168
Jean Cholet,C,28551,159,0,1,14,36,0,55,12,1,849.5999999999999,4.4,0.0,0.9,10.3,128
Christ I,C,18386,119,0,13,7,43,0,24,7,3,1132.8000000000002,2.8,0.0,0.6,7.7,82
Christmas market,C,20777,598,0,204,50,366,0,165,74,62,271.20000000000005,1.6,0.1,2.7,32.2,111
Cimabue,C,16835,486,0,108,63,277,0,183,56,40,393.59999999999997,1.8,0.1,1.9,22.3,106
Barbara Cook,C,49892,552,0,100,60,239,0,126,43,12,300.0,2.3,0.1,2.4,29.1,227
Nick Cordero,C,24111,604,0,207,22,302,0,83,66,70,134.39999999999998,2.0,0.2,5.4,64.9,137
EJay Day,C,42270,474,0,28,23,90,0,52,55,13,333.6,5.3,0.1,2.2,26.3,379
Daisy Burrell,C,35852,396,0,7,11,47,0,87,11,1,256.79999999999995,8.4,0.1,2.8,34.2,355
Renee Brna,C,9812,42,0,0,8,24,0,20,7,1,888.0,1.8,0.0,0.8,9.9,28
Nerve agent,C,57359,1176,0,423,92,673,0,381,104,110,163.2,1.7,0.2,4.5,53.9,171
Citizen science,C,221234,1444,0,284,119,534,0,378,127,64,110.39999999999999,2.7,0.3,6.6,79.5,397
