Title,Assessment Grade,Size in Bytes,Revisions,Registered Edits,IP Edits,Bot Edits,Unique Editors,Major Edits,Minor Edits,Semi Auto Edits,Reverted Edits,Average Time Between Edits,Average Edits Per User,Average Edits Per Day,Average Edits Per Month,Average Edits Per Year,Edits Made By Top 10
The Empire Strikes Back,FA,212508,7951,0,2394,202,2997,0,1496,1061,1434,24.0,2.7,1.3,31.5,378.0,1785
Planet of the Apes,FA,112394,3002,0,1192,74,917,0,523,273,308,40.8,3.3,0.8,18.2,218.7,997
Fight Club,FA,98321,6501,0,2113,181,2785,0,1502,979,1392,26.400000000000002,2.3,1.2,28.9,347.1,1848
Die Hard,FA,185451,5521,0,1978,165,2616,0,1113,851,1048,33.599999999999994,2.1,0.9,22.3,267.0,1319
Aliens (film),FA,208412,6412,0,2227,200,2639,0,1320,917,1185,26.400000000000002,2.4,1.1,26.5,318.1,1525
Bird,FA,229207,7190,0,1446,318,2492,0,2606,1029,1206,26.400000000000002,2.9,1.1,27.6,330.6,1513
Leech,FA,53916,3253,0,1327,215,1676,0,963,661,727,55.199999999999996,1.9,0.6,13.2,158.8,538
Starfish,FA,104145,5253,0,2053,278,2364,0,1562,1179,1388,33.599999999999994,2.2,0.9,21.8,261.6,1198
Viatkogorgon,FA,54109,227,0,28,13,89,0,69,16,13,578.4000000000001,2.6,0.1,1.3,15.2,130
Apororhynchus,FA,26590,419,0,10,19,71,0,164,22,8,278.4,5.9,0.1,2.6,31.6,340
Baseball,FA,135346,8629,0,2715,223,3706,0,2607,1404,1865,21.6,2.3,1.4,33.4,400.5,1585
Michael Jordan,FA,206756,13506,0,3719,237,4531,0,3505,1844,2538,14.399999999999999,3.0,2.2,52.1,625.2,2875
Yao Ming,FA,93126,4913,0,1871,137,2386,0,1124,757,964,36.0,2.1,0.9,20.5,245.8,718
FIFA World Cup,FA,142270,10163,0,3379,174,4149,0,2582,1535,1887,19.200000000000003,2.4,1.6,39.1,469.1,1744
