Title,Registered Editors,IP Editors,Bot Editors
The_Empire_Strikes_Back,0,1601,76
Planet_of_the_Apes,0,508,31
Fight_Club,0,1563,44
Die_Hard,0,1401,53
Aliens_(film),0,1430,66
Bird,0,946,90
Leech,0,898,54
Starfish,0,1358,62
Viatkogorgon,0,18,10
Apororhynchus,0,8,12
Baseball,0,1794,71
Michael_Jordan,0,2226,76
Yao_Ming,0,1223,53
FIFA_World_Cup,0,2166,52
Old_Trafford,0,754,56
King_Arthur,0,1365,49
Germany,0,2804,120
History_of_Gibraltar,0,59,25
Joan_of_Arc,0,1560,84
Castle,0,1325,39
Earth,0,2140,99
Evolution,0,1539,59
Galaxy,0,1196,76
Planet,0,1507,91
Manhattan_Project,0,1368,62
Carillon,0,251,37
Taiko,0,386,38
Elderly_Instruments,0,37,13
Peking_opera,0,246,39
Viking_metal,0,407,39
Antarctica,0,1941,89
Dorset,0,322,66
Sea,0,730,76
Level_Mountain,0,19,14
Hoodoo_Mountain,0,34,16
AI_Mark_IV_radar,0,26,12
Cai_Lun,0,178,43
Mechanical_filter,0,24,18
Shale_oil_extraction,0,31,23
Trinity_(nuclear_test),0,555,52
American_History_X,0,1183,53
Batman_Begins,0,2144,67
Beetlejuice,0,1214,45
Boys_in_the_Sand,0,19,13
The_Brute_Man,0,30,19
Adder,0,171,45
Gharial,0,368,54
Pterosaur,0,612,53
Poison_dart_frog,0,783,44
Wood_turtle,0,47,20
Bouncing_ball,0,14,10
American_football,0,2441,68
Chicago_Marathon,0,104,24
Rugby_union,0,1995,46
Major_League_Soccer,0,2474,55
Aztecs,0,2167,72
Beowulf,0,1997,64
Elf,0,781,43
Bede,0,385,47
John_Wilkes_Booth,0,797,47
Bill_Nye,0,1111,41
Astronomy,0,1565,78
Biology,0,1661,88
Sociology,0,1492,74
University_College_London,0,1237,60
Homophony,0,50,23
John_Stainer,0,40,19
Christiaan_Huygens,0,405,61
Claude_Vivier,0,47,19
Major_thirds_tuning,0,5,12
Desert,0,1868,87
England,0,2561,93
Geyser,0,414,51
Google_Earth,0,2020,81
Johor,0,404,55
Glass,0,1559,81
IPhone_6,0,642,18
Nuclear_power,0,1357,57
Twitter,0,995,78
PlayStation,0,1195,44
28_Weeks_Later,0,1176,47
Batman,0,2292,72
After_Earth,0,639,33
Cloverfield,0,2304,45
Deadpool_2,0,714,23
Alligator,0,1105,31
Cape_cobra,0,58,29
Glass_frog,0,154,27
Horned_lizard,0,234,32
Queen_snake,0,76,19
2022_FIFA_World_Cup,0,741,46
ESPN,0,1745,46
Exercise,0,1065,52
Formula_One,0,2747,68
Gymnastics,0,1750,59
Antipope,0,314,41
Al-Andalus,0,653,61
Barbaro_family,0,54,23
Book_of_Cerne,0,2,12
Cathedral,0,459,44
Afterlife,0,1263,41
Big_data,0,647,38
Humanities,0,528,53
Cosmogony,0,111,34
Life,0,874,72
Hurrian_songs,0,21,11
Neume,0,63,28
Music_theory,0,629,39
Music_therapy,0,521,52
Tritone,0,250,22
Aida_Camp,0,6,11
Aegean_Sea,0,309,51
Essex,0,624,52
Chiapas,0,334,61
Chocolate_Hills,0,186,34
3D_printing,0,1095,57
AMD,0,974,78
IPod,0,3192,79
Google_Play,0,785,35
Amazon_(company),0,2012,75
Ahsoka_Tano,0,564,33
28_Days_Later,0,1121,44
30_for_30,0,225,26
42_(film),0,265,15
A_Canterbury_Tale,0,42,24
Reptile,0,1119,71
Axolotl,0,487,53
Canadian_toad,0,11,10
Cacops,0,16,20
Chameleon,0,1321,62
